,Impact,poorPerfection,poornessPercent,goodDesignsElim,totalPerfection,numCorrect,goodPerfection,goodnessPercent,numIncorrect,poorEliminationPercent,poorDesignsElim
rule_P1_Rule_NI,28,False,48,474,False,2562,False,76,1434,68,1038
rule_P2_S1_Rule_F,51,False,36,241,False,3028,False,87,968,84,1271
rule_H1_P1_Rule_A,-19,False,86,661,False,1612,False,66,2384,29,275
rule_H1_P1_Rule_F,-19,False,86,661,False,1612,False,66,2384,29,275
rule_A1_Rule_R,-9,False,94,291,False,1812,False,85,2184,26,105
rule_B2_P2_Rule_A,-14,False,69,905,False,1700,False,54,2296,40,607
rule_A1andS1_PH1andPP1_Rule_O,-4,False,94,185,False,1916,False,90,2080,35,103
rule_A1_Rule_M,18,False,19,1240,False,2362,False,37,1634,56,1604
rule_P2_S1_Rule_A,51,False,36,241,False,3028,False,87,968,84,1271
rule_S1_B1_Rule_T,-4,False,56,966,False,1902,False,51,2094,47,870
rule_A1andH2_PA2andPB1_Rule_O,-12,False,96,304,False,1756,False,84,2240,16,62
rule_P2_S1_Rule_B,3,False,96,12,False,2058,False,99,1938,85,72
